epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.83349,1.72052,3.35234,1.90124,0.00278,0.71429,0.31467,0.12475,1.46909,3.31097,1.63439,4e-05,4e-05,4e-05
2,5.46564,1.7113,3.47279,1.94512,0.00278,0.71429,0.23605,0.12506,1.38121,3.25161,1.53179,9.901e-05,9.901e-05,9.901e-05
3,7.45077,1.27646,2.88761,1.57843,0.00333,0.85714,0.11051,0.06082,1.3193,3.24237,1.41592,0.000156832,0.000156832,0.000156832
4,9.44061,1.37083,2.85317,1.54924,0.00389,1,0.13509,0.07859,1.02687,3.19689,1.35461,0.000213466,0.000213466,0.000213466
5,11.197,1.37533,2.56783,1.54007,0.00389,1,0.14674,0.08942,1.09134,3.20197,1.3483,0.000268912,0.000268912,0.000268912
6,13.1146,1.02675,2.08188,1.25414,0.00389,1,0.46466,0.31522,1.127,3.14244,1.36391,0.00032317,0.00032317,0.00032317
7,14.9382,1.16872,2.20233,1.40295,0.00389,1,0.59171,0.32817,1.06234,3.18518,1.39697,0.00037624,0.00037624,0.00037624
8,16.8201,1.00775,1.78901,1.33044,0.00389,1,0.31796,0.20782,1.09523,3.21563,1.41203,0.000428122,0.000428122,0.000428122
9,19.1084,0.97103,1.70322,1.35954,0.00389,1,0.26887,0.20965,1.26709,3.20963,1.44197,0.000478816,0.000478816,0.000478816
10,20.9283,1.17484,1.83565,1.36392,0.00389,1,0.29424,0.16192,1.53109,3.37336,1.59697,0.000528322,0.000528322,0.000528322
11,22.6832,1.18593,1.55787,1.38852,0.00389,1,0.37606,0.16315,1.387,3.19943,1.4642,0.00057664,0.00057664,0.00057664
12,24.4972,1.00209,1.61405,1.21077,1,0.27214,0.49058,0.30996,1.31872,3.05684,1.44873,0.00062377,0.00062377,0.00062377
13,26.3726,1.08243,1.60527,1.2834,1,0.36202,0.61008,0.35269,1.41428,2.91488,1.55623,0.000669712,0.000669712,0.000669712
14,28.2854,1.09929,1.51101,1.27503,0.76226,0.42857,0.71091,0.37111,1.64635,2.77539,1.75195,0.000714466,0.000714466,0.000714466
15,30.1672,1.05211,1.42693,1.26915,0.76226,0.42857,0.71091,0.37111,1.64635,2.77539,1.75195,0.000758032,0.000758032,0.000758032
16,32.0788,1.27501,1.77977,1.40311,0.8089,0.60957,0.70928,0.35089,1.59269,2.7153,1.69672,0.00080041,0.00080041,0.00080041
17,33.8837,1.09752,1.63923,1.24015,0.60047,0.42958,0.55155,0.18627,1.8215,3.14433,1.82161,0.0008416,0.0008416,0.0008416
18,35.6835,0.92706,1.52628,1.16774,0.60047,0.42958,0.55155,0.18627,1.8215,3.14433,1.82161,0.000881602,0.000881602,0.000881602
19,37.5334,1.20075,1.5881,1.36935,0.48873,0.57143,0.47337,0.19306,1.62245,3.02134,1.76011,0.000920416,0.000920416,0.000920416
20,39.4157,1.04524,1.31016,1.26017,0.37282,0.57143,0.39075,0.23028,1.45234,2.84088,1.76304,0.000958042,0.000958042,0.000958042
21,41.2423,1.0371,1.49578,1.30076,0.37282,0.57143,0.39075,0.23028,1.45234,2.84088,1.76304,0.00099448,0.00099448,0.00099448
22,43.1731,0.99957,1.22148,1.16002,0.62391,0.71138,0.53232,0.27524,1.5781,2.65115,2.0335,0.00102973,0.00102973,0.00102973
23,45.0275,1.13838,1.46698,1.31817,0.62391,0.71138,0.53232,0.27524,1.5781,2.65115,2.0335,0.00106379,0.00106379,0.00106379
24,47.0978,1.01982,1.29469,1.25205,0.96223,0.57143,0.72355,0.37967,1.53869,2.66006,2.0596,0.00109667,0.00109667,0.00109667
25,48.9989,1.05044,1.4038,1.2169,0.96223,0.57143,0.72355,0.37967,1.53869,2.66006,2.0596,0.00112835,0.00112835,0.00112835
26,50.9148,0.98044,1.43078,1.29091,0.79738,0.71429,0.69716,0.39212,1.5068,2.52038,1.8195,0.00115885,0.00115885,0.00115885
27,52.7146,1.11554,1.37374,1.40149,0.79738,0.71429,0.69716,0.39212,1.5068,2.52038,1.8195,0.00118816,0.00118816,0.00118816
28,54.7195,1.15584,1.5096,1.31856,0.96673,0.57143,0.73581,0.44144,1.66846,2.37878,1.89577,0.00121628,0.00121628,0.00121628
29,56.6823,1.1156,1.41164,1.34065,0.96673,0.57143,0.73581,0.44144,1.66846,2.37878,1.89577,0.00124322,0.00124322,0.00124322
30,58.5336,0.99735,1.33649,1.25525,0.96673,0.57143,0.73581,0.44144,1.66846,2.37878,1.89577,0.00126896,0.00126896,0.00126896
31,60.5214,0.96944,1.22631,1.19617,1,0.57136,0.81879,0.4681,1.64543,2.27189,1.8735,0.00129352,0.00129352,0.00129352
32,62.3879,1.00842,1.3392,1.27372,1,0.57136,0.81879,0.4681,1.64543,2.27189,1.8735,0.00131689,0.00131689,0.00131689
33,64.3694,0.99336,1.1416,1.16466,1,0.84861,0.87161,0.40221,1.49861,2.37563,1.80622,0.00133907,0.00133907,0.00133907
34,66.0117,1.07373,1.37038,1.2522,1,0.84861,0.87161,0.40221,1.49861,2.37563,1.80622,0.0013466,0.0013466,0.0013466
35,67.6392,1.0459,1.39744,1.21737,1,0.84861,0.87161,0.40221,1.49861,2.37563,1.80622,0.0013268,0.0013268,0.0013268
36,69.2158,0.89666,1.26033,1.21,0.95197,0.71429,0.76637,0.39962,1.52424,2.41535,1.71434,0.001307,0.001307,0.001307
37,69.8591,1.11613,1.20191,1.21123,0.95197,0.71429,0.76637,0.39962,1.52424,2.41535,1.71434,0.0012872,0.0012872,0.0012872
38,70.517,0.96175,1.14064,1.14606,0.95197,0.71429,0.76637,0.39962,1.52424,2.41535,1.71434,0.0012674,0.0012674,0.0012674
39,71.2985,1.01792,1.23389,1.3051,0.94868,0.71429,0.90167,0.47446,1.6189,1.98826,1.77851,0.0012476,0.0012476,0.0012476
40,71.9471,1.07001,1.21011,1.22287,0.94868,0.71429,0.90167,0.47446,1.6189,1.98826,1.77851,0.0012278,0.0012278,0.0012278
41,72.6097,0.94472,1.19508,1.13689,0.8306,0.71429,0.79267,0.40658,1.55026,2.04534,1.71244,0.001208,0.001208,0.001208
42,73.2338,1.00215,1.1612,1.08283,0.8306,0.71429,0.79267,0.40658,1.55026,2.04534,1.71244,0.0011882,0.0011882,0.0011882
43,73.8649,1.02398,1.44105,1.18911,0.8306,0.71429,0.79267,0.40658,1.55026,2.04534,1.71244,0.0011684,0.0011684,0.0011684
44,74.5022,0.98834,1.16059,1.17897,0.85658,0.85377,0.82278,0.39619,1.60617,2.17212,1.77238,0.0011486,0.0011486,0.0011486
45,75.121,0.78124,1.13187,1.08242,0.85658,0.85377,0.82278,0.39619,1.60617,2.17212,1.77238,0.0011288,0.0011288,0.0011288
46,75.7761,0.80398,1.31822,1.14896,0.85658,0.85377,0.82278,0.39619,1.60617,2.17212,1.77238,0.001109,0.001109,0.001109
47,76.4516,0.87615,1.18429,1.15063,0.97777,0.85714,0.8913,0.44142,1.76379,1.98152,1.88875,0.0010892,0.0010892,0.0010892
48,77.0533,0.85812,1.07734,1.17853,0.97777,0.85714,0.8913,0.44142,1.76379,1.98152,1.88875,0.0010694,0.0010694,0.0010694
49,77.7247,0.93679,1.15122,1.15269,0.9789,0.85714,0.93038,0.47275,1.7917,1.78491,1.93161,0.0010496,0.0010496,0.0010496
50,78.3672,0.79327,1.46193,1.17196,0.9789,0.85714,0.93038,0.47275,1.7917,1.78491,1.93161,0.0010298,0.0010298,0.0010298
51,79.0171,1.01115,0.99965,1.17869,0.9789,0.85714,0.93038,0.47275,1.7917,1.78491,1.93161,0.00101,0.00101,0.00101
52,79.686,1.06308,1.06336,1.23372,0.87366,0.98928,0.9775,0.5465,1.63917,1.68809,1.7763,0.0009902,0.0009902,0.0009902
53,80.3278,0.80543,1.09953,1.10134,0.87366,0.98928,0.9775,0.5465,1.63917,1.68809,1.7763,0.0009704,0.0009704,0.0009704
54,81.0723,0.81057,1.14841,1.10064,0.87366,0.98928,0.9775,0.5465,1.63917,1.68809,1.7763,0.0009506,0.0009506,0.0009506
55,81.7204,0.85551,1.10641,1.17502,1,0.98074,0.995,0.62466,1.4528,1.44749,1.69179,0.0009308,0.0009308,0.0009308
